model,quantity,value
STD,tau_zx_peak_MPa,-75.5
STD,tau_zx_peak_depth_km,30
STD,rho_hat_peak_kgm3_smooth10km,192
STD,rho_hat_peak_depth_km,26
STD,tau_zx_x_centre_of_mass_km,33.6
STD,deficit_peak_MPa,62.1
STD,max_moment_offset_km,21
STD,x_smoothing_km,10
STD,midrun_snapshots,5
WAL,tau_zx_peak_MPa,-62.3
WAL,tau_zx_peak_depth_km,28
WAL,rho_hat_peak_kgm3_smooth10km,191
WAL,rho_hat_peak_depth_km,22
WAL,tau_zx_x_centre_of_mass_km,31.1
WAL,deficit_peak_MPa,50.6
WAL,max_moment_offset_km,24
WAL,x_smoothing_km,10
WAL,midrun_snapshots,4
