model,quantity,value
STD,L_trench_km_median,33.07
STD,L_trench_km_q1,29.55
STD,L_trench_km_q3,36.31
STD,L_ridge_dynamic_km_median,31.66
STD,L_ridge_dynamic_km_q1,25.94
STD,L_ridge_dynamic_km_q3,35.8
STD,L_ridge_static_km_median,54.06
STD,L_ridge_static_km_q1,51.51
STD,L_ridge_static_km_q3,55.51
STD,relief_trench_m_median,1922.68
STD,relief_trench_m_q1,1852.5
STD,relief_trench_m_q3,2007.47
STD,relief_ridge_m_median,1285.46
STD,relief_ridge_m_q1,1108.72
STD,relief_ridge_m_q3,1488.09
WAL,L_trench_km_median,33.39
WAL,L_trench_km_q1,30.21
WAL,L_trench_km_q3,34.25
WAL,L_ridge_dynamic_km_median,33.93
WAL,L_ridge_dynamic_km_q1,28.79
WAL,L_ridge_dynamic_km_q3,40.3
WAL,L_ridge_static_km_median,46.91
WAL,L_ridge_static_km_q1,43.14
WAL,L_ridge_static_km_q3,48.97
WAL,relief_trench_m_median,1710.79
WAL,relief_trench_m_q1,1574.32
WAL,relief_trench_m_q3,1860.85
WAL,relief_ridge_m_median,1374.66
WAL,relief_ridge_m_q1,1166.59
WAL,relief_ridge_m_q3,1737.44
