model,quantity,value
STD,h_np2_median_km,63.0
STD,h_np2_q1_km,61.0
STD,h_np2_q3_km,63.0
STD,h_yield10_median_km,70.5
STD,h_yield10_q1_km,64.5
STD,h_yield10_q3_km,76.5
STD,h_triangle_median_km,67.8
STD,h_triangle_q1_km,62.4
STD,h_triangle_q3_km,74.0
STD,h_thermal_median_km,68.5
STD,h_thermal_q1_km,61.5
STD,h_thermal_q3_km,73.5
STD,strength_mean_thickness_km,67.4
STD,matching_isotherm_C,898
STD,h_yield50_median_km,62.5
STD,h_tp90_median_km,52.5
STD,moment_arm_median_km,27.0
STD,moment_arm_over_h_median,0.429
STD,L_scaling_km_median,33.89
STD,L_over_h_np2,0.549
STD,L_over_h_yield10,0.482
STD,L_over_h_thermal900,0.505
STD,L_over_h_strengthmean,0.509
STD,trench_pull_median_TNm,2.167
WAL,h_np2_median_km,55.0
WAL,h_np2_q1_km,53.0
WAL,h_np2_q3_km,55.0
WAL,h_yield10_median_km,66.5
WAL,h_yield10_q1_km,61.5
WAL,h_yield10_q3_km,75.5
WAL,h_triangle_median_km,67.6
WAL,h_triangle_q1_km,61.7
WAL,h_triangle_q3_km,68.9
WAL,h_thermal_median_km,64.5
WAL,h_thermal_q1_km,57.5
WAL,h_thermal_q3_km,71.5
WAL,strength_mean_thickness_km,63.3
WAL,matching_isotherm_C,892
WAL,h_yield50_median_km,57.5
WAL,h_tp90_median_km,47.5
WAL,moment_arm_median_km,23.3
WAL,moment_arm_over_h_median,0.423
WAL,L_scaling_km_median,33.82
WAL,L_over_h_np2,0.622
WAL,L_over_h_yield10,0.492
WAL,L_over_h_thermal900,0.516
WAL,L_over_h_strengthmean,0.528
WAL,trench_pull_median_TNm,1.761
