model,quantity,value
STD,nd_ridge_max,0.622
STD,nd_ridge_median,0.385
STD,nd_ridge_always_tension_like,True
STD,nd_trench_median,-0.702
STD,nd_trench_mean_abs,1.128
STD,nd_trench_max_abs,2.375
STD,nd_trench_tension_like_fraction,0.368
STD,ratio_ridge_max_over_trench_mean_abs,0.552
STD,ratio_ridge_max_over_trench_max_abs,0.262
STD,nd_diff_trench_minus_ridge_median,-1.133
STD,nd_diff_driving_fraction,0.316
STD,ratio_nd_diff_over_gpe_diff_max,0.603
WAL,nd_ridge_max,0.345
WAL,nd_ridge_median,0.236
WAL,nd_ridge_always_tension_like,True
WAL,nd_trench_median,-1.886
WAL,nd_trench_mean_abs,2.058
WAL,nd_trench_max_abs,3.686
WAL,nd_trench_tension_like_fraction,0
WAL,ratio_ridge_max_over_trench_mean_abs,0.168
WAL,ratio_ridge_max_over_trench_max_abs,0.094
WAL,nd_diff_trench_minus_ridge_median,-2.21
WAL,nd_diff_driving_fraction,0
WAL,ratio_nd_diff_over_gpe_diff_max,0.822
POOLED,nd_ridge_max,0.622
POOLED,ratio_ridge_max_over_trench_mean_abs,0.391
POOLED,ratio_ridge_max_over_trench_max_abs,0.169
