model,quantity,value
STD,z_star_km_median,79.500
STD,z_star_km_q1,59.500
STD,z_star_km_q3,87.500
STD,trench_pull_median,2.119
STD,trench_pull_q1,1.785
STD,trench_pull_q3,2.347
STD,ridge_push_dynamic_median,1.467
STD,ridge_push_dynamic_q1,1.077
STD,ridge_push_dynamic_q3,1.899
STD,back_tilt_median,0.647
STD,back_tilt_q1,0.612
STD,back_tilt_q3,0.735
STD,ridge_push_static_median,2.343
STD,ridge_push_static_q1,2.030
STD,ridge_push_static_q3,2.763
STD,tail_below_zstar_median,0.230
STD,tail_below_zstar_q1,0.182
STD,tail_below_zstar_q3,0.258
STD,tilt_fraction_of_static_median,0.294
STD,tilt_fraction_of_static_q1,0.248
STD,tilt_fraction_of_static_q3,0.319
STD,ratio_dynamic_over_trench_pull_median,0.697
STD,ratio_dynamic_over_trench_pull_q1,0.601
STD,ratio_dynamic_over_trench_pull_q3,0.810
WAL,z_star_km_median,87.500
WAL,z_star_km_q1,69.500
WAL,z_star_km_q3,113.500
WAL,trench_pull_median,1.746
WAL,trench_pull_q1,1.637
WAL,trench_pull_q3,2.003
WAL,ridge_push_dynamic_median,1.544
WAL,ridge_push_dynamic_q1,1.243
WAL,ridge_push_dynamic_q3,2.234
WAL,back_tilt_median,0.416
WAL,back_tilt_q1,0.343
WAL,back_tilt_q3,0.483
WAL,ridge_push_static_median,2.120
WAL,ridge_push_static_q1,1.790
WAL,ridge_push_static_q3,2.654
WAL,tail_below_zstar_median,0.096
WAL,tail_below_zstar_q1,0.065
WAL,tail_below_zstar_q3,0.134
WAL,tilt_fraction_of_static_median,0.196
WAL,tilt_fraction_of_static_q1,0.145
WAL,tilt_fraction_of_static_q3,0.236
WAL,ratio_dynamic_over_trench_pull_median,0.903
WAL,ratio_dynamic_over_trench_pull_q1,0.711
WAL,ratio_dynamic_over_trench_pull_q3,1.024
