model,quantity,value
STD,v_sp_median_cmyr,-1.688
STD,v_sp_min_cmyr,-2.634
STD,v_sp_max_cmyr,-1.101
STD,v_op_median_cmyr,1.493
STD,v_op_min_cmyr,1.099
STD,v_op_max_cmyr,1.807
STD,v_trench_median_cmyr,1.644
STD,v_trench_min_cmyr,0.902
STD,v_trench_max_cmyr,2.079
STD,convergence_median_cmyr,3.238
STD,convergence_min_cmyr,2.603
STD,convergence_max_cmyr,3.825
WAL,v_sp_median_cmyr,-2.379
WAL,v_sp_min_cmyr,-4.636
WAL,v_sp_max_cmyr,-1.576
WAL,v_op_median_cmyr,0.859
WAL,v_op_min_cmyr,-0.023
WAL,v_op_max_cmyr,2.320
WAL,v_trench_median_cmyr,1.037
WAL,v_trench_min_cmyr,-0.211
WAL,v_trench_max_cmyr,1.996
WAL,convergence_median_cmyr,3.038
WAL,convergence_min_cmyr,2.215
WAL,convergence_max_cmyr,6.178
